Date,Price,Open,High,Low,Vol.,Change %
2/23/2022,127.59,131.65,132.05,127.53,32.79M,-1.71%
2/22/2022,129.81,129.84,132.18,128.22,44.99M,-0.45%
2/18/2022,130.4,133.47,134.07,130.2,45.62M,-1.61%
2/17/2022,132.54,136.24,137.11,132.48,38.95M,-3.77%
2/16/2022,137.74,136.65,138.09,134.92,25.02M,0.83%
2/15/2022,136.61,137.57,138.11,135.82,26.71M,0.80%
2/14/2022,135.53,133.26,136.3,133.26,34.30M,0.93%
2/11/2022,134.28,138.6,139.16,133.4,39.96M,-3.13%
2/10/2022,138.62,139.7,141.48,137.96,39.33M,-2.10%
2/9/2022,141.59,140.96,142.52,140.19,40.14M,1.57%
2/8/2022,139.4,139.03,140,137.01,54.28M,0.14%
2/7/2022,139.2,144.25,144.25,138.9,54.97M,-2.86%
2/4/2022,143.29,143.44,144.88,140.51,58.00M,0.14%
2/3/2022,143.09,145.71,149.68,142.67,71.52M,-3.32%
2/2/2022,148,151.25,151.55,145.52,123.20M,7.52%
2/1/2022,137.64,137.59,137.79,134.37,68.64M,1.73%
1/31/2022,135.3,134.16,135.47,132.21,39.99M,1.46%
1/28/2022,133.35,129.66,133.36,128.49,34.36M,3.37%
1/27/2022,129.01,131.3,132.65,128.93,32.02M,-0.18%
1/26/2022,129.23,131.12,133,127.14,49.13M,1.81%
1/25/2022,126.93,128.74,129.4,126.5,46.96M,-2.96%
1/24/2022,130.8,125.98,131.2,124.5,76.69M,0.35%
1/21/2022,130.35,132.59,134.87,130.09,55.65M,-2.22%
1/20/2022,133.31,136.25,137.63,132.96,29.91M,-1.34%
1/19/2022,135.12,136.52,137.96,135.02,28.65M,-0.65%
1/18/2022,136,136.18,137.13,135.44,34.89M,-2.50%
1/14/2022,139.48,137.08,140.74,137,29.66M,0.64%
1/13/2022,138.59,141.54,142.85,138.41,31.44M,-2.01%
1/12/2022,141.43,141.15,142.61,140.69,26.11M,1.21%
1/11/2022,139.74,138.01,140.22,136.69,28.73M,0.77%
1/10/2022,138.67,135.08,138.82,133.16,44.41M,1.21%
1/7/2022,137.02,138.15,138.45,135.77,29.76M,-0.53%
1/6/2022,137.75,137,139.94,136.56,37.35M,-0.02%
1/5/2022,137.77,144.42,144.5,137.69,54.62M,-4.59%
1/4/2022,144.4,145.4,146.48,143.72,28.40M,-0.41%
1/3/2022,144.99,145.05,145.85,143.71,28.68M,0.10%
12/31/2021,144.85,146.05,146.7,144.85,18.14M,-0.92%
12/30/2021,146.2,146.69,147.3,145.99,15.69M,-0.31%
12/29/2021,146.65,146.64,147.42,145.65,17.79M,-0.02%
12/28/2021,146.69,148.24,148.3,146.05,18.25M,-0.82%
12/27/2021,147.91,147.26,148.34,147.17,15.98M,0.67%
12/23/2021,146.92,146.5,148.24,146.45,26.38M,0.34%
12/22/2021,146.41,143.07,146.5,143.07,26.32M,2.05%
